sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Masculino;27;Superior completo;Administração;2018;6;1;Analista;Ágil;6;6; ;7;5;6;6;6;6;6;5;7;7;5;6;7;6;7;7;7;6;7;0,733492806
Masculino;21;Mestrado;Ciência da computação;2021;3;1;Analista;Ágil;6;6; ;6;7;5;7;7;5;6;7;6;6;6;7;6;5;7;7;7;6;6;0,733492806
Masculino;30;Superior incompleto;Analise de Desenvolvimento de Sistemas;2019;7;6;Desenvolvedor;Híbrida;24;1; ;5;6;5;7;7;7;6;5;6;6;6;5;6;7;6;7;6;7;6;0,737468406
Feminino;27;Superior completo;Sistemas de Informação;2016;5;5;Desenvolvedor;Ágil;12;2; ;7;7;7;7;7;7;7;7;5;5;5;7;7;7;7;7;7;7;7;0,749268649
Feminino;25;Especialização;Engenharia de Software;2018;6;1;DBA;Ágil;36;36; ;6;6;6;5;5;6;7;5;6;7;6;7;7;6;7;7;7;7;7;0,749268649
Masculino;34;Especialização;Ciência da computação;2008;14;6;Desenvolvedor;Ágil;12;3; ;5;6;6;6;6;5;4;5;6;5;6;7;6;6;5;7;6;6;5;0,749268649
Masculino;28;Especialização;Ciência da computação;2017;7;1;Gerente;Ágil;24;6; ;6;4;6;6;5;5;6;6;7;6;6;5;6;5;5;7;6;6;5;0,749268649
Feminino;59;Doutorado;Ciência da computação;2019;20;15;Gerente;Híbrida;18;18; ;6;5;7;6;5;6;7;6;7;7;6;7;5;7;7;7;7;6;7;0,76088591
Masculino;41;Superior completo;Gestão em TI;2016;20;10;Gerente;Ágil;4;1; ;6;7;6;7;7;6;7;6;5;6;5;7;7;7;7;7;5;7;6;0,76088591
Masculino;35;Doutorado;Ciência da computação;2014;14;10;Gerente;Ágil;3;3; ;7;7;6;7;7;5;7;7;7;6;6;5;5;7;6;7;6;7;6;0,76088591
Masculino;29;Superior completo;Ciência da computação;2015;7;7;Desenvolvedor;Ágil;10;10; ;5;6;5;5;5;5;6;6;5;6;5;7;5;7;7;5;6;6;5;0,76088591
Masculino;33;Mestrado;Ciência da computação;0;10;8;DBA;Híbrida;10;10; ;6;6;7;7;7;7;6;5;6;6;6;7;7;6;6;5;5;7;5;0,764719113
Masculino;42;Superior completo;Processamento de Dados;2000;20;10;DBA;Ágil;3;3; ;6;7;6;6;6;6;7;6;6;7;6;6;5;4;7;7;7;6;6;0,764719113
Masculino;28;Especialização;Engenharia da Computação;2019;5;4;Gerente;Ágil;24;24; ;7;5;5;6;6;5;7;7;7;7;7;6;6;5;6;6;6;6;7;0,764719113
Masculino;32;Superior completo;Sistemas de Informação;2017;15;11;Desenvolvedor;Híbrida;8;8; ;5;7;6;7;7;7;7;6;5;7;5;7;7;7;7;7;7;7;7;0,768533197
Masculino;41;Superior completo;Análise e Desenvolvimento de software;2017;5;5;DBA;Tradicional;3;3; ;7;7;5;5;7;7;6;7;7;5;6;7;7;7;7;7;7;7;7;0,768533197
Feminino;20;Superior incompleto;Design;2022;3;2;Designer;Ágil;2;2; ;5;7;6;5;7;7;6;7;7;7;7;5;6;7;7;7;7;6;7;0,772328446
Masculino;34;Mestrado;Ciência da computação;2010;13;13;Desenvolvedor;Híbrida;20;20; ;6;4;4;6;5;5;6;6;6;5;5;6;7;5;6;5;5;6;6;0,772328446
Masculino;36;Superior completo;Ciência da computação;2017;11;8;Desenvolvedor;Híbrida;12;0; ;5;6;6;4;5;6;5;4;6;6;5;5;6;5;6;7;5;6;6;0,772328446
